12;16;2;hann;22;43;144;134;0.05;22573.0;89.13;39.56;
12;16;2;hann;22;43;145;135;0.13;22710.0;89.67;39.77;
13;7;3;hann;36;37;178;66;0.11;5888796.0;38.75;0;
13;16;2;hann;23;43;145;135;0.12;22691.0;88.04;39.05;
13;16;1;hamming;22;43;146;135;0.09;22604.0;88.04;39.07;
13;16;1;hamming;22;43;143;135;0.04;22159.0;88.04;39.16;
13;16;2;hamming;21;43;144;134;0.03;21868.0;88.04;39.23;
13;16;2;hamming;23;43;145;136;0.12;22870.0;88.59;39.25;
13;16;1;hamming;22;44;144;135;0.01;22039.0;88.33;39.32;
13;16;2;hamming;23;44;146;136;0.09;22909.0;88.89;39.38;
13;16;2;hann;22;43;144;134;0.02;22201.0;88.59;39.4;
13;16;1;hann;23;44;145;135;0.01;22732.0;88.89;39.42;
14;7;3;hann;36;37;178;66;0.15;5885546.0;38.51;0;
14;16;1;hamming;22;43;143;135;0.07;22585.0;87.5;38.83;
14;16;1;hamming;21;42;143;135;0.07;22350.0;87.5;38.88;
14;16;1;hamming;22;43;146;135;0.13;22326.0;87.5;38.89;
14;16;2;hamming;22;43;146;135;0.13;22284.0;87.5;38.9;
14;16;2;hann;22;43;144;134;0.02;22156.0;87.5;38.92;
14;16;2;hamming;23;43;145;136;0.14;22876.0;88.04;39.01;
14;16;1;hamming;22;44;144;135;0.02;22185.0;87.78;39.04;
14;16;2;hamming;23;44;146;136;0.13;23160.0;88.89;39.32;
14;16;1;hann;23;44;145;135;0.02;22897.0;89.44;39.62;
15;7;3;hann;36;37;178;66;0.14;5896301.0;38.97;0;
15;16;1;hamming;22;43;143;135;0.05;22316.0;86.96;38.65;
15;16;1;hamming;22;43;146;135;0.11;22525.0;87.5;38.84;
15;16;1;hann;23;43;144;136;0.12;22784.0;88.04;39.03;
15;16;1;hamming;23;43;145;135;0.02;22683.0;88.04;39.05;
15;16;2;hamming;22;43;146;135;0.13;22339.0;88.04;39.12;
15;16;1;hann;23;44;145;135;0.02;22733.0;88.33;39.17;
15;16;2;hamming;23;44;146;136;0.13;22627.0;88.33;39.19;
15;16;2;hamming;23;43;145;136;0.12;22991.0;88.59;39.23;
15;16;1;hamming;22;44;144;135;0.01;22108.0;88.33;39.3;
16;7;3;hann;36;37;178;66;0.18;5886890.0;38.61;0;
16;16;1;hamming;21;44;143;134;0.02;21568.0;87.22;38.93;
16;16;1;hamming;22;43;146;135;0.17;22365.0;88.04;39.12;
16;16;2;hamming;22;43;146;135;0.23;22350.0;88.04;39.12;
16;16;2;hamming;23;43;145;136;0.14;22767.0;88.59;39.27;
16;16;1;hamming;23;43;145;135;0.02;22681.0;88.59;39.29;
16;16;1;hamming;22;44;144;135;0.02;22088.0;88.33;39.31;
16;16;2;hamming;23;44;146;136;0.15;22585.0;88.89;39.45;
16;16;1;hamming;22;44;144;135;0.02;22078.0;88.89;39.56;
16;16;1;hann;23;44;145;135;0.02;22952.0;90;39.86;
17;7;3;hann;36;37;178;66;0.21;5936653.0;38.64;0;
17;16;1;hamming;22;43;145;135;0.02;22304.0;87.5;38.89;
17;16;1;hamming;21;44;143;134;0.01;21678.0;87.22;38.9;
17;16;1;hann;23;44;145;135;0.02;22734.0;88.33;39.17;
17;16;2;hamming;23;44;146;136;0.12;22691.0;88.33;39.18;
17;16;1;hamming;23;43;145;135;0.02;22919.0;88.59;39.24;
17;16;2;hamming;23;43;145;136;0.13;22790.0;88.59;39.27;
17;16;1;hamming;22;44;144;135;0.02;22097.0;88.33;39.31;
17;16;1;hamming;23;43;145;134;0.02;22872.0;89.13;39.49;
17;16;1;hamming;22;44;144;135;0.02;22094.0;88.89;39.56;
0;7;4;hamming;35;39;126;55;0.12;3308713.0;38.53;0;
0;16;7;hann;2;83;795;85;0.05;9480.0;28.95;13.79;
0;13;2;hamming;13;35;690;38;0.06;96018.0;65.26;18.07;
0;13;2;hamming;12;35;689;38;0.06;92156.0;63.89;18.19;
0;15;6;hann;25;51;475;84;0.1;52738.0;82.37;30.57;
0;13;7;hann;14;60;57;6;0.1;12479.0;69.12;32.41;
0;14;7;hann;14;61;57;6;0.1;10665.0;71.08;33.65;
0;16;3;hann;23;79;239;7;0.06;8089.0;70.37;33.76;
0;15;2;hann;23;78;238;7;0.06;10043.0;77.08;36.61;
0;16;6;hamming;25;52;475;85;0.1;30051.0;87.66;37.29;
1;7;4;hamming;35;38;125;55;0.16;3395105.0;38.42;0;
1;13;6;hann;13;60;57;6;0.12;12208.0;66.89;31.41;
1;14;6;hann;14;60;57;5;0.15;11853.0;68.71;32.32;
1;13;7;hann;14;60;57;6;0.12;12139.0;70.61;33.16;
1;14;7;hann;14;61;57;6;0.15;11679.0;70.91;33.39;
1;14;1;hann;22;78;237;7;0.05;11874.0;75.8;35.65;
1;16;3;hann;23;79;239;7;0.07;8981.0;75.93;36.26;
1;15;2;hamming;23;78;239;7;0.07;10275.0;77.08;36.56;
